feature,importance
BMI,0.16689646877370207
GenHlth,0.1507425531803521
Age,0.10527677928041704
HighBP,0.09227227007198206
Age_Group,0.06709765744588031
BMI_Category,0.0662348333626715
PhysActivity,0.0541888335083681
Income,0.04814982830956548
PhysHlth,0.04133597418845556
Education,0.03873198285560384
HvyAlcoholConsump,0.03839263842961036
MentHlth,0.01999351524610684
Fruits,0.018351645800246372
HighChol,0.017317132791769694
NoDocbcCost,0.0167276364319047
Smoker,0.016116947588076202
Veggies,0.010699871383296715
Sex,0.010497642683157555
CholCheck,0.007358471962278936
DiffWalk,0.005129518288927655
Stroke,0.003373845131604177
AnyHealthcare,0.0026606567728510193
HeartDiseaseorAttack,0.002453296513171645
